p,J_0,J_1,J_2,J_3,J_4,J_5
0.21,3.15,3.15,3.15,3.15,3.15,3.15
0.2125,3.1875,3.1875,3.1875,3.1875,3.1875,3.1875
0.215,3.225,3.225,3.225,3.225,3.225,3.225
0.2175,3.2625,3.2625,3.2625,3.2625,3.2625,3.2625
0.22,3.3,3.3,3.3,3.3,3.3,3.3
0.2225,3.3375,3.3375,3.3375,3.3375,3.3375,3.3375
0.225,3.375,3.375,3.375,3.375,3.375,3.375
0.2275,3.4125,3.4125,3.4125,3.4125,3.4125,3.4125
0.23,3.45,3.45,3.45,3.45,3.45,3.45
0.2325,3.4875000000000003,3.4875000000000003,3.4875000000000003,3.4875000000000003,3.4875000000000003,3.4875000000000003
0.23500000000000001,3.5250000000000004,3.5250000000000004,3.5250000000000004,3.5250000000000004,3.5250000000000004,3.5250000000000004
0.23750000000000002,3.5625000000000004,3.5625000000000004,3.5625000000000004,3.5625000000000004,3.5625000000000004,3.5625000000000004
0.24,3.5999999999999996,3.5999999999999996,3.5999999999999996,3.5999999999999996,3.5999999999999996,3.5999999999999996
0.2425,3.6374999999999997,3.6374999999999997,3.6374999999999997,3.6374999999999997,3.6374999999999997,3.6374999999999997
0.245,3.675,3.675,3.675,3.675,3.675,3.675
0.2475,3.7125,3.7125,3.7125,3.7125,3.7125,3.7125
0.25,3.75,3.75,3.75,3.75,3.75,3.75
0.2525,3.7875,3.7875,3.7875,3.7875,3.7875,3.7875
0.255,3.825,3.825,3.825,3.825,3.825,3.825
0.2575,3.8625000000000003,3.8625000000000003,3.8625000000000003,3.8625000000000003,3.8625000000000003,3.8625000000000003
0.26,3.9000000000000004,3.9000000000000004,3.9000000000000004,3.9000000000000004,3.9000000000000004,3.9000000000000004
0.2625,3.9375,3.9375,3.9375,3.9375,3.9375,3.9375
0.265,3.975,3.975,3.975,3.975,3.975,3.975
0.2675,4.0125,4.0125,4.0125,4.0125,4.0125,4.0125
0.27,4.050000000000001,4.050000000000001,4.050000000000001,4.050000000000001,4.050000000000001,4.050000000000001
0.2725,4.0875,4.0875,4.0875,4.0875,4.0875,4.0875
0.275,4.125,4.125,4.125,4.125,4.125,4.125
0.2775,4.1625000000000005,4.1625000000000005,4.1625000000000005,4.1625000000000005,4.1625000000000005,4.1625000000000005
0.28,4.2,4.2,4.2,4.2,4.2,4.2
0.28250000000000003,4.237500000000001,4.237500000000001,4.237500000000001,4.237500000000001,4.237500000000001,4.237500000000001
0.28500000000000003,4.275,4.275,4.275,4.275,4.275,4.275
0.28750000000000003,4.312500000000001,4.312500000000001,4.312500000000001,4.312500000000001,4.312500000000001,4.312500000000001
0.29,4.35,4.35,4.35,4.35,4.35,4.35
0.2925,4.387499999999999,4.387499999999999,4.387499999999999,4.387499999999999,4.387499999999999,4.387499999999999
0.295,4.425,4.425,4.425,4.425,4.425,4.425
