p,J_star,stop_cost,continue_cost
0.8,4.39867941420517,4.999999999999999,4.403615705478426
0.805,4.3459977830660685,4.874999999999999,4.350707819326865
0.81,4.296081126334707,4.749999999999998,4.300649946668789
0.8150000000000001,4.233588936028737,4.624999999999998,4.237929803734394
0.8200000000000001,4.183322896919856,4.499999999999998,4.187453507592882
0.8250000000000001,4.115112036597823,4.374999999999998,4.119085873343879
0.8300000000000001,4.056364486942296,4.249999999999998,4.060125998505558
0.835,3.9988240764311445,4.125000000000001,4.002391342226379
0.84,3.9295008872325963,4.000000000000001,3.9329160066532647
0.845,3.866674744577036,3.875000000000001,3.86989023422199
0.85,3.7500000000000004,3.7500000000000004,3.812672247877802
0.855,3.6250000000000004,3.6250000000000004,3.7329277606819398
0.86,3.5000000000000004,3.5000000000000004,3.667277105603408
0.865,3.375,3.375,3.601328935275675
0.87,3.25,3.25,3.535155308422912
0.875,3.125,3.125,3.455724947007493
0.88,3.0,3.0,3.3754831249654007
0.885,2.875,2.875,3.296962706397756
0.89,2.7499999999999996,2.7499999999999996,3.2197633729011925
0.895,2.6249999999999996,2.6249999999999996,3.1422889459856727
0.9,2.4999999999999996,2.4999999999999996,3.060890261837521
0.905,2.374999999999999,2.374999999999999,2.9751740696983697
0.91,2.249999999999999,2.249999999999999,2.8899024956353307
0.915,2.124999999999999,2.124999999999999,2.802490909279916
0.92,1.9999999999999991,1.9999999999999991,2.714844714764111
0.925,1.874999999999999,1.874999999999999,2.630341593132714
0.93,1.7499999999999987,1.7499999999999987,2.527855295691063
0.935,1.6249999999999987,1.6249999999999987,2.436192229364753
0.9400000000000001,1.4999999999999987,1.4999999999999987,2.3340169098814054
0.9450000000000001,1.3749999999999984,1.3749999999999984,2.2407359228407615
0.9500000000000001,1.2499999999999982,1.2499999999999982,2.1360998135211364
0.9550000000000001,1.1249999999999982,1.1249999999999982,2.0309924908241332
0.96,1.0000000000000009,1.0000000000000009,1.9269557602745975
0.965,0.8750000000000008,0.8750000000000008,1.8105737316222306
0.97,0.7500000000000007,0.7500000000000007,1.6980630538829327
0.975,0.6250000000000006,0.6250000000000006,1.5889649122173344
0.98,0.5000000000000004,0.5000000000000004,1.4730592333664358
0.985,0.37500000000000033,0.37500000000000033,1.3525869787340619
0.99,0.2500000000000002,0.2500000000000002,1.236233724646672
0.995,0.1250000000000001,0.1250000000000001,1.1099090584237001
1.0,0.0,0.0,1.0
